plot,site
WM1,WM
WM2,WM
WM3,WM
WM4,WM
WM5,WM
INT1,INT
INT2,INT
INT3,INT
INT4,INT
INT5,INT
GH1,WM
GH2,WM
GH3,WM
GH4,WM
GH5,WM
EM1,EM_VR
EM2,EM_VR
VR1,EM_VR
VR2,EM_VR
RM1,RM_a
RM2,RM_a
RM3,RM_a
RM4,RM_a
RM5,RM_a
RM6,RM_a
RM7,RM_a
RM8,RM_b
RM9,RM_b
MDW1,MDW
MDW2,MDW
SG1,SG
SG2,SG
SG3,SG
SG4,SG
STR,STR
CCR,NA
