"rmbl_bees_species","rmbl_bees_genus","mary_bees_species","mary_bees_genus","rmbl_flrs_species"
"wasp","wasp","Damaged","Damaged","Carex sp;versionB"
"Wasp","Wasp",,,
"fly","fly",,,
"Fly","Fly",,,
"Bombus unknown","Damaged",,,
"Bombus unkown",,,,
"Bombus Unknown",,,,
"Bombus suckleyi",,,,
"Bombus rufosynctus",,,,
"Bombus Insularis",,,,
"Bombus melanopygus",,,,
"Damaged",,,,
